NAMA DEBITUR,EVENT TIME,STATUS UPSELLING,JENIS KELAMIN,USIA,STATUS PERNIKAHAN,JUMLAH TANGGUNGAN,STATUS TEMPAT TINGGAL,PENDIDIKAN,WILAYAH,JENIS PEKERJAAN,LAMA BEKERJA, PENGHASILAN ,DBR,JK WAKTU KREDIT/ BLN,LIMIT KREDIT,KUALITAS KREDIT
A79199,60,NEW,PEREMPUAN,34,MENIKAH,1,Sewa,S1,Jakarta 4,Pegawai swasta,6,4182923,26%,60,30000000,LANCAR
A275304,7,TOP,LAKI LAKI,28,TIDAK MENIKAH,0,Rumah Dinas,S1,Medan,Pegawai swasta,1,4131762,30%,48,40000000,LANCAR
A196012,36,NEW,PEREMPUAN,34,MENIKAH,2,Milik Sendiri,SMA,Semarang,Pegawai swasta,13,2780723,41%,36,20000000,LANCAR
A104002,36,NEW,LAKI LAKI,35,MENIKAH,0,Milik Sendiri,DIPLOMA,Balikpapan,Pegawai swasta,6,6845869,28%,36,45000000,LANCAR
A118194,24,NEW,LAKI LAKI,35,CERAI,3,Milik Sendiri,S1,Balikpapan,Pegawai swasta,5,8598651,45%,24,80000000,LANCAR
A127584,36,NEW,LAKI LAKI,37,MENIKAH,2,Milik Orang Tua,S1,Jakarta 5,Pegawai swasta,1,7386000,26%,36,45000000,LANCAR
A323080,17,TOP,LAKI LAKI,30,MENIKAH,0,Sewa,SMA,Denpasar,Pegawai swasta,3,2629064,35%,72,36000000,LANCAR
A162579,24,NEW,PEREMPUAN,24,TIDAK MENIKAH,0,Milik Orang Tua,S1,Jakarta 5,Pegawai swasta,2,3212500,45%,24,18500000,LANCAR
A211717,120,NEW,LAKI LAKI,31,MENIKAH,1,Milik Orang Tua,S1,Surabaya,Pegawai swasta,1,5678587,47%,120,150000000,LANCAR
A3545,60,NEW,LAKI LAKI,53,MENIKAH,2,Rumah Dinas,S1,Medan,Pegawai swasta,16,10125736,36%,60,150000000,LANCAR
A213502,24,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Sendiri,S1,Surabaya,Pegawai swasta,6,3127610,47%,24,30000000,LANCAR
A83325,24,NEW,LAKI LAKI,28,MENIKAH,1,Sewa,SMA,Jakarta 4,Pegawai swasta,4,3335102,39%,24,19000000,LANCAR
A219240,12,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Orang Tua,S1,Surabaya,Pegawai swasta,3,2766737,49%,12,15000000,LANCAR
A70393,60,NEW,LAKI LAKI,44,MENIKAH,3,Milik Orang Tua,S1,Jakarta 3,Pegawai swasta,7,10000000,35%,60,150000000,LANCAR
A3244,24,NEW,LAKI LAKI,35,MENIKAH,2,Milik Orang Tua,S1,Medan,Pegawai swasta,3,2877415,18%,24,10000000,LANCAR
A86296,60,NEW,PEREMPUAN,36,MENIKAH,2,Milik Sendiri,DIPLOMA,Jakarta 4,Pegawai swasta,2,3750417,41%,60,58000000,LANCAR
A185608,60,NEW,LAKI LAKI,47,CERAI,0,Milik Sendiri,DIPLOMA,Bandung,Pegawai swasta,1,2108973,48%,60,33000000,LANCAR
A275107,25,TOP,LAKI LAKI,42,MENIKAH,2,Milik Sendiri,SMA,Medan,Pegawai swasta,12,3097000,24%,36,29000000,LANCAR
A90838,120,NEW,LAKI LAKI,38,MENIKAH,2,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,14,6552430,54%,120,125000000,LANCAR
A204540,96,NEW,LAKI LAKI,33,MENIKAH,0,Milik Orang Tua,S1,Surabaya,Pegawai swasta,1,2620949,56%,96,40000000,LANCAR
A78263,36,NEW,LAKI LAKI,36,MENIKAH,2,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,13,3000000,19%,36,8500000,LANCAR
A253688,24,NEW,LAKI LAKI,35,MENIKAH,2,Rumah Dinas,SMA,Balikpapan,Pegawai swasta,5,3416375,38%,24,17500000,MACET
A266881,60,NEW,LAKI LAKI,41,MENIKAH,2,Milik Sendiri,DIPLOMA,Bandung,Pegawai swasta,6,2921013,53%,60,45000000,LANCAR
A192712,36,NEW,PEREMPUAN,40,MENIKAH,2,Milik Sendiri,SMA,Semarang,Pegawai swasta,17,2743833,34%,36,20000000,LANCAR
A225837,72,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Surabaya,Pegawai swasta,8,3215032,43%,72,60000000,LANCAR
A202996,48,NEW,LAKI LAKI,40,MENIKAH,2,Milik Sendiri,SMA,Surabaya,Pegawai swasta,14,2518907,59%,48,50000000,LANCAR
A27439,24,NEW,LAKI LAKI,45,MENIKAH,2,Milik Sendiri,S2/S3,Palembang,PNS,15,11964848,41%,24,100000000,LANCAR
A233098,48,NEW,PEREMPUAN,47,MENIKAH,0,Milik Sendiri,DIPLOMA,Makassar,Pegawai swasta,11,2780700,31%,48,25000000,LANCAR
A25237,42,NEW,LAKI LAKI,53,MENIKAH,4,Milik Sendiri,SMA,Medan,Pegawai BUMN,10,6450160,10%,42,20000000,LANCAR
A211963,36,NEW,LAKI LAKI,34,MENIKAH,1,Milik Orang Tua,S1,Surabaya,Pegawai swasta,4,2685388,42%,36,20000000,LANCAR
A203649,12,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Milik Orang Tua,S1,Surabaya,Pegawai swasta,2,2712889,34%,12,10000000,LANCAR
A276313,24,TOP,LAKI LAKI,39,MENIKAH,2,Rumah Dinas,SMA,Medan,Pegawai swasta,10,2883410,53%,24,37000000,LANCAR
A99202,72,NEW,LAKI LAKI,28,TIDAK MENIKAH,0,Sewa,S1,Jakarta 4,PNS,9,10580469,33%,72,160000000,LANCAR
A232361,96,NEW,LAKI LAKI,39,MENIKAH,3,Milik Sendiri,SMA,Makassar,Pegawai swasta,16,13582022,43%,96,260000000,LANCAR
A96037,108,NEW,LAKI LAKI,44,MENIKAH,2,Sewa,SMA,Jakarta 4,Pegawai swasta,11,6063447,30%,108,100000000,LANCAR
A66462,24,NEW,LAKI LAKI,37,CERAI,0,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,9,3918343,37%,24,30000000,LANCAR
A87770,24,NEW,LAKI LAKI,48,MENIKAH,0,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,25,9408875,26%,24,40000000,LANCAR
A22689,78,NEW,LAKI LAKI,29,MENIKAH,1,Sewa,DIPLOMA,Medan,Pegawai swasta,6,5165820,49%,78,141700000,LANCAR
A231236,36,NEW,PEREMPUAN,53,MENIKAH,1,Milik Sendiri,S1,Makassar,Pegawai BUMN,20,7107333,11%,36,21000000,LANCAR
A180281,24,NEW,LAKI LAKI,25,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Bandung,Pegawai swasta,6,3496685,35%,24,25000000,LANCAR
A228380,60,NEW,LAKI LAKI,31,MENIKAH,2,Milik Sendiri,S1,Surabaya,Pegawai BUMN,5,17750000,20%,60,142000000,LANCAR
A202139,36,NEW,LAKI LAKI,38,MENIKAH,3,Milik Sendiri,DIPLOMA,Surabaya,PNS,14,8946817,34%,36,85000000,LANCAR
A151420,60,NEW,PEREMPUAN,43,MENIKAH,3,Milik Sendiri,S1,Jakarta 5,PNS,22,14122477,13%,60,70000000,LANCAR
A246651,12,NEW,LAKI LAKI,34,MENIKAH,2,Milik Sendiri,S1,Jayapura,Pegawai swasta,5,5864930,24%,12,15000000,LANCAR
A200824,96,NEW,LAKI LAKI,50,MENIKAH,1,Milik Sendiri,SMA,Surabaya,Pegawai swasta,14,3088132,60%,96,60000000,LANCAR
A213493,108,NEW,LAKI LAKI,52,MENIKAH,2,Rumah Dinas,S2/S3,Surabaya,PNS,25,10606900,35%,108,200000000,LANCAR
A259414,96,NEW,PEREMPUAN,47,MENIKAH,0,Milik Sendiri,SMA,Surabaya,Pegawai swasta,17,2032772,40%,96,40000000,MACET
A124649,36,NEW,LAKI LAKI,45,MENIKAH,2,Milik Sendiri,S1,Balikpapan,Pegawai swasta,3,14502952,34%,36,140000000,LANCAR
A112696,30,NEW,LAKI LAKI,25,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Balikpapan,Pegawai BUMN,1,3226270,37%,30,27000000,LANCAR
A108152,30,NEW,LAKI LAKI,44,MENIKAH,3,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,8,3822445,28%,30,25000000,LANCAR
A297305,13,TOP,LAKI LAKI,32,MENIKAH,2,Milik Sendiri,DIPLOMA,Balikpapan,Pegawai swasta,3,3706200,42%,60,46000000,LANCAR
A97947,36,NEW,PEREMPUAN,30,TIDAK MENIKAH,0,Sewa,S2/S3,Jakarta 4,Pegawai swasta,1,9790000,19%,36,50000000,LANCAR
A90084,24,NEW,LAKI LAKI,55,MENIKAH,2,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,19,4416155,35%,24,25000000,LANCAR
A206741,60,NEW,PEREMPUAN,53,MENIKAH,2,Milik Sendiri,SMA,Surabaya,Pegawai swasta,10,2749641,49%,60,24500000,LANCAR
A310028,34,TOP,LAKI LAKI,26,MENIKAH,1,Sewa,SMA,Bandung,Pegawai swasta,3,4094606,30%,48,46000000,LANCAR
A215357,48,NEW,LAKI LAKI,37,MENIKAH,2,Milik Orang Tua,S1,Surabaya,Pegawai swasta,2,4657217,32%,48,50000000,LANCAR
A122357,120,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Sewa,S1,Balikpapan,PNS,2,14873217,56%,120,500000000,LANCAR
A125976,12,NEW,LAKI LAKI,30,MENIKAH,2,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,2,5283935,36%,12,15000000,LANCAR
A149211,60,NEW,LAKI LAKI,32,MENIKAH,2,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,4,5686000,25%,60,51000000,LANCAR
A102895,24,NEW,LAKI LAKI,44,MENIKAH,2,Sewa,SMA,Balikpapan,Pegawai swasta,2,7412226,35%,24,40000000,LANCAR
A159176,36,NEW,LAKI LAKI,39,MENIKAH,2,Sewa,SMA,Jakarta 5,Pegawai swasta,11,3635734,21%,36,20000000,LANCAR
A195507,36,NEW,LAKI LAKI,53,MENIKAH,1,Milik Sendiri,DIPLOMA,Semarang,Pegawai swasta,12,8086250,22%,36,50000000,LANCAR
A193273,36,NEW,PEREMPUAN,40,MENIKAH,2,Milik Sendiri,DIPLOMA,Semarang,Pegawai swasta,15,3199695,57%,36,50000000,LANCAR
A38368,24,NEW,LAKI LAKI,48,MENIKAH,3,Milik Sendiri,SMA,Palembang,Pegawai swasta,25,3682732,26%,24,20000000,LANCAR
A28487,24,NEW,LAKI LAKI,36,MENIKAH,2,Milik Orang Tua,S1,Palembang,Pegawai swasta,8,22629420,54%,24,250000000,LANCAR
A104210,36,NEW,LAKI LAKI,35,MENIKAH,2,Rumah Dinas,S1,Balikpapan,Pegawai swasta,2,7514900,25%,36,50000000,LANCAR
A147428,36,NEW,LAKI LAKI,46,MENIKAH,2,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,18,3000000,29%,36,20500000,LANCAR
A79925,60,NEW,LAKI LAKI,34,MENIKAH,2,Milik Sendiri,S1,Jakarta 4,Pegawai BUMN,4,11319168,17%,60,40000000,LANCAR
A273740,10,TOP,LAKI LAKI,34,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai swasta,4,2110254,29%,84,40300000,LANCAR
A250421,48,NEW,LAKI LAKI,43,MENIKAH,4,Rumah Dinas,SMA,Medan,Pegawai swasta,13,5804780,37%,48,52000000,MACET
A280241,23,TOP,LAKI LAKI,48,MENIKAH,4,Rumah Dinas,S2/S3,Palembang,PNS,26,11462700,45%,84,291000000,LANCAR
A273915,13,TOP,LAKI LAKI,51,MENIKAH,2,Rumah Dinas,SMA,Medan,Pegawai BUMN,25,11199558,17%,72,175000000,LANCAR
A90272,60,NEW,LAKI LAKI,41,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,10,3801917,31%,60,34000000,LANCAR
A185834,36,NEW,LAKI LAKI,30,MENIKAH,2,Milik Orang Tua,SMA,Bandung,Pegawai swasta,8,4832367,22%,36,30000000,LANCAR
A262948,120,NEW,LAKI LAKI,37,MENIKAH,1,Milik Orang Tua,DIPLOMA,Palembang,Pegawai swasta,11,5583770,60%,120,193000000,LANCAR
A304551,17,TOP,LAKI LAKI,39,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,16,3500000,43%,96,84000000,LANCAR
A56050,24,NEW,PEREMPUAN,25,TIDAK MENIKAH,0,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,5,3967955,31%,24,25000000,LANCAR
A181787,36,NEW,LAKI LAKI,27,MENIKAH,1,Milik Sendiri,SMA,Bandung,Pegawai swasta,5,5492116,31%,36,43000000,LANCAR
A47125,48,NEW,LAKI LAKI,31,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 3,Pegawai swasta,5,4730916,44%,48,50000000,LANCAR
A267246,60,NEW,PEREMPUAN,43,MENIKAH,2,Milik Sendiri,SMA,Bandung,Pegawai swasta,20,2870247,53%,60,45000000,LANCAR
A256369,24,NEW,LAKI LAKI,33,MENIKAH,3,Milik Sendiri,SMP,Balikpapan,Pegawai swasta,2,4282138,60%,24,10000000,MACET
A6038,24,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Sewa,SMA,Medan,Pegawai swasta,1,3179615,32%,24,18500000,LANCAR
A36454,72,NEW,LAKI LAKI,34,MENIKAH,2,Milik Orang Tua,SMA,Palembang,Pegawai BUMN,7,2573850,47%,72,65515711,LANCAR
A318139,13,TOP,LAKI LAKI,28,TIDAK MENIKAH,0,Milik Sendiri,S1,Surabaya,Pegawai swasta,6,2552733,57%,72,60200000,LANCAR
A308027,10,TOP,LAKI LAKI,33,TIDAK MENIKAH,0,Rumah Dinas,S1,Bandung,Pegawai swasta,5,12483754,39%,120,300000000,LANCAR
A268928,36,NEW,LAKI LAKI,24,TIDAK MENIKAH,0,Milik Orang Tua,S1,Surabaya,Pegawai swasta,4,3740085,29%,36,30000000,LANCAR
A275894,25,TOP,PEREMPUAN,32,MENIKAH,0,Rumah Dinas,S1,Medan,Pegawai BUMN,4,8565212,47%,96,220000000,LANCAR
A29671,12,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Rumah Dinas,S1,Palembang,Pegawai BUMN,1,11546000,40%,12,50000000,LANCAR
A269779,36,NEW,LAKI LAKI,24,TIDAK MENIKAH,0,Sewa,DIPLOMA,Makassar,PNS,3,3044145,60%,36,15000000,LANCAR
A275010,25,TOP,PEREMPUAN,35,MENIKAH,2,Milik Sendiri,SMA,Medan,Pegawai swasta,2,2920775,42%,72,38100000,LANCAR
A73277,36,NEW,LAKI LAKI,41,MENIKAH,2,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,1,2929594,12%,36,8500000,LANCAR
A96462,36,NEW,LAKI LAKI,57,MENIKAH,1,Milik Sendiri,S2/S3,Jakarta 4,Pegawai swasta,3,285078400,3%,36,250000000,LANCAR
A315836,9,TOP,LAKI LAKI,32,MENIKAH,2,Milik Orang Tua,S1,Surabaya,Pegawai swasta,13,2267633,53%,60,50000000,LANCAR
A190335,36,NEW,LAKI LAKI,53,MENIKAH,3,Milik Sendiri,SMA,Semarang,Pegawai swasta,20,9723540,28%,36,75000000,LANCAR
A47470,36,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 3,Pegawai swasta,7,4331372,42%,36,50000000,LANCAR
A175110,84,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Milik Orang Tua,DIPLOMA,Bandung,Pegawai swasta,6,4225000,47%,84,80000000,LANCAR
A10285,120,NEW,LAKI LAKI,41,MENIKAH,2,Rumah Dinas,S1,Medan,Pegawai swasta,11,7730000,46%,120,200000000,LANCAR
A243768,24,NEW,LAKI LAKI,46,MENIKAH,2,Rumah Dinas,SMA,Jayapura,Pegawai swasta,1,9610538,16%,24,30000000,LANCAR
A35208,60,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Orang Tua,S1,Palembang,Pegawai BUMN,7,6332768,60%,60,150000000,LANCAR
A29212,54,NEW,PEREMPUAN,55,MENIKAH,0,Milik Sendiri,SMA,Palembang,Pegawai BUMN,10,2542750,54%,54,50000000,LANCAR
A76403,36,NEW,LAKI LAKI,33,MENIKAH,1,Milik Orang Tua,S1,Jakarta 4,Pegawai swasta,1,4814947,31%,36,38000000,LANCAR
A163817,48,NEW,LAKI LAKI,31,TIDAK MENIKAH,0,Sewa,SMA,Bandung,Pegawai swasta,2,4440363,28%,48,25000000,LANCAR
A99348,60,NEW,LAKI LAKI,34,MENIKAH,4,Milik Sendiri,S1,Jakarta 4,Pegawai swasta,4,4274390,38%,60,50000000,LANCAR
A322496,44,TOP,LAKI LAKI,37,MENIKAH,2,Milik Sendiri,SMA,Makassar,Pegawai swasta,10,12938870,60%,120,531000000,LANCAR
A152946,60,NEW,LAKI LAKI,30,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,6,6461827,39%,60,100000000,LANCAR
A87809,24,NEW,PEREMPUAN,28,TIDAK MENIKAH,0,Milik Orang Tua,DIPLOMA,Jakarta 4,Pegawai swasta,3,4499562,54%,24,50000000,LANCAR
A52978,96,NEW,PEREMPUAN,33,MENIKAH,2,Milik Orang Tua,S1,Jakarta 3,Pegawai swasta,2,5591472,52%,96,150000000,LANCAR
A9411,36,NEW,PEREMPUAN,58,MENIKAH,0,Milik Orang Tua,DIPLOMA,Medan,PNS,10,12977318,28%,36,100000000,LANCAR
A234236,120,NEW,LAKI LAKI,32,MENIKAH,2,Rumah Dinas,SMA,Makassar,Pegawai BUMN,10,8382366,40%,120,200000000,LANCAR
A227791,36,NEW,LAKI LAKI,42,MENIKAH,1,Milik Sendiri,SMA,Surabaya,Pegawai swasta,21,2667123,40%,36,29000000,LANCAR
A122634,48,NEW,LAKI LAKI,52,MENIKAH,2,Rumah Dinas,S1,Balikpapan,Pegawai swasta,1,16896228,45%,48,270000000,LANCAR
A133199,36,NEW,LAKI LAKI,39,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,2,5333410,28%,36,40000000,LANCAR
A129081,12,NEW,LAKI LAKI,38,MENIKAH,1,Sewa,S1,Jakarta 5,Pegawai swasta,5,4000000,46%,12,20000000,LANCAR
A167263,36,NEW,LAKI LAKI,37,MENIKAH,1,Milik Sendiri,SMA,Bandung,Pegawai swasta,10,3839664,39%,36,30500000,LANCAR
A97761,96,NEW,PEREMPUAN,22,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 4,Pegawai BUMN,1,4477652,43%,96,100000000,LANCAR
A271047,60,NEW,LAKI LAKI,29,MENIKAH,2,Milik Orang Tua,SMA,Palembang,Pegawai swasta,1,5072900,53%,60,45600000,LANCAR
A119811,24,NEW,LAKI LAKI,43,MENIKAH,2,Milik Orang Tua,DIPLOMA,Balikpapan,Pegawai swasta,9,7199974,36%,24,42000000,LANCAR
A168723,36,NEW,LAKI LAKI,49,MENIKAH,1,Sewa,DIPLOMA,Bandung,Pegawai swasta,7,2585600,29%,36,20000000,LANCAR
A33406,48,NEW,LAKI LAKI,31,TIDAK MENIKAH,0,Rumah Dinas,S1,Palembang,Pegawai swasta,1,2905941,31%,48,30000000,LANCAR
A113387,42,NEW,LAKI LAKI,55,MENIKAH,3,Rumah Dinas,S1,Balikpapan,Pegawai BUMN,10,33087132,33%,42,220000000,LANCAR
A277427,6,TOP,LAKI LAKI,28,MENIKAH,1,Milik Sendiri,SMA,Medan,Pegawai swasta,4,3935976,27%,60,37600000,LANCAR
A308166,11,TOP,LAKI LAKI,33,MENIKAH,2,Milik Orang Tua,SMA,Bandung,Pegawai swasta,2,3947298,41%,72,75000000,LANCAR
A225851,24,NEW,PEREMPUAN,34,MENIKAH,0,Milik Sendiri,S1,Surabaya,Pegawai swasta,2,3300500,15%,24,10000000,LANCAR
A134610,60,NEW,LAKI LAKI,34,MENIKAH,1,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,1,19565020,13%,60,100000000,LANCAR
A51014,60,NEW,LAKI LAKI,30,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,8,2782289,29%,60,25000000,LANCAR
A86887,36,NEW,PEREMPUAN,24,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,4,2943214,43%,36,20000000,LANCAR
A226344,96,NEW,LAKI LAKI,41,MENIKAH,1,Milik Sendiri,S1,Surabaya,Pegawai swasta,20,3223174,45%,96,75000000,LANCAR
A329151,10,TOP,LAKI LAKI,33,MENIKAH,2,Milik Orang Tua,SMA,Bandung,Pegawai swasta,4,3004132,43%,120,95700000,LANCAR
A305319,35,TOP,LAKI LAKI,43,MENIKAH,2,Milik Sendiri,DIPLOMA,Jakarta 5,Pegawai swasta,11,7093000,21%,36,77000000,LANCAR
A246678,60,NEW,LAKI LAKI,43,MENIKAH,1,Milik Sendiri,SMA,Jayapura,Pegawai BUMN,8,8374072,60%,60,110000000,LANCAR
