NAMA,T,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,class
A254604,24,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,2,3276236,0.470530816,24,14000000,MACET,0
A250202,60,NEW,LAKI LAKI,52,MENIKAH,2,Rumah Dinas,SMA,Medan,Pegawai swasta,1,5099275,0.492662388,60,100000000,MACET,0
A250977,60,NEW,LAKI LAKI,45,MENIKAH,3,Rumah Dinas,SMA,Medan,Pegawai swasta,4,3126768,0.247570654,60,30000000,MACET,0
A253271,48,NEW,PEREMPUAN,30,MENIKAH,2,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,5,3894250,0.278307505,48,20000000,MACET,0
A257322,60,NEW,LAKI LAKI,42,MENIKAH,2,Milik Orang Tua,DIPLOMA,Jakarta 5,Pegawai swasta,6,6114800,0.221212141,60,50000000,MACET,0
A299953,14,TOP,LAKI LAKI,42,MENIKAH,2,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,1,6232524,0.303847205,60,72000000,LANCAR,1
A322390,29,TOP,LAKI LAKI,43,MENIKAH,2,Milik Sendiri,DIPLOMA,Makassar,Pegawai swasta,19,7536264,0.442772838,84,207000000,LANCAR,1
A291104,7,TOP,LAKI LAKI,32,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,6,2940000,0.262171769,24,19500000,LANCAR,1
A259432,36,NEW,LAKI LAKI,45,MENIKAH,2,Milik Orang Tua,SMA,Surabaya,Pegawai swasta,16,5859505,0.6,36,90000000,MACET,0
A270639,60,NEW,LAKI LAKI,23,TIDAK MENIKAH,0,Rumah Dinas,SMA,Jayapura,Pegawai swasta,1,6696652,0.375145819,60,100000000,LANCAR,1
A254486,24,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,1,3648660,0.297040283,24,20000000,MACET,0
A259629,60,NEW,LAKI LAKI,54,MENIKAH,1,Milik Sendiri,S1,Surabaya,Pegawai BUMN,2,2503075,0.412343617,60,30000000,MACET,0
A272166,60,NEW,LAKI LAKI,47,MENIKAH,2,Milik Sendiri,SMA,Palembang,Pegawai swasta,2,4429803,0.427498695,60,39000000,LANCAR,1
A200093,48,NEW,LAKI LAKI,51,MENIKAH,3,Milik Sendiri,S1,Surabaya,Pegawai BUMN,19,19500000,0.218002154,48,150000000,LANCAR,1
A217543,24,NEW,LAKI LAKI,48,MENIKAH,2,Milik Sendiri,S1,Surabaya,Pegawai swasta,22,4050460,0.6,24,25000000,LANCAR,1
A314784,12,TOP,PEREMPUAN,31,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Surabaya,Pegawai swasta,7,2719019,0.474494294,84,60000000,LANCAR,1
A7212,12,NEW,LAKI LAKI,33,TIDAK MENIKAH,0,Milik Sendiri,S1,Medan,Pegawai swasta,2,9902925,0.188053025,12,20000000,LANCAR,1
A102358,36,NEW,LAKI LAKI,29,MENIKAH,3,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,14,6448275,0.396552877,36,52000000,LANCAR,1
A248262,36,NEW,PEREMPUAN,33,MENIKAH,2,Milik Orang Tua,SMP,Jakarta 4,Pegawai swasta,1,2500000,0.4521008,36,19500000,MACET,0
A253996,24,NEW,LAKI LAKI,43,MENIKAH,5,Milik Sendiri,SD,Balikpapan,Pegawai swasta,1,4844959,0.365478428,24,28000000,MACET,0
A330039,19,TOP,PEREMPUAN,35,MENIKAH,1,Milik Sendiri,S1,Denpasar,Pegawai swasta,6,5064348,0.320515494,60,54000000,LANCAR,1
A257106,36,NEW,LAKI LAKI,31,TIDAK MENIKAH,0,Rumah Dinas,SMA,Balikpapan,Pegawai swasta,8,6000000,0.163294333,36,39000000,MACET,0
A65548,60,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Orang Tua,S1,Jakarta 3,Pegawai swasta,1,10633400,0.127209359,60,43000000,LANCAR,1
A226354,24,NEW,LAKI LAKI,34,MENIKAH,3,Milik Sendiri,S1,Surabaya,PNS,14,11768183,0.08443589,24,20000000,LANCAR,1
A81080,24,NEW,PEREMPUAN,34,MENIKAH,0,Sewa,S1,Jakarta 4,Pegawai swasta,1,6000000,0.293342167,24,35000000,LANCAR,1
A104705,24,NEW,LAKI LAKI,46,MENIKAH,2,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,1,6075333,0.296032827,24,35000000,LANCAR,1
A249277,36,NEW,LAKI LAKI,45,MENIKAH,2,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,18,4288181,0.298154625,36,35000000,MACET,0
A324854,17,TOP,LAKI LAKI,34,TIDAK MENIKAH,0,Milik Sendiri,S1,Jayapura,Pegawai swasta,2,10368609,0.468269466,96,250000000,LANCAR,1
A148290,48,NEW,LAKI LAKI,42,MENIKAH,3,Sewa,SMA,Jakarta 5,Pegawai swasta,5,4605500,0.268945391,48,40000000,LANCAR,1
A208588,60,NEW,LAKI LAKI,42,MENIKAH,2,Milik Sendiri,S1,Surabaya,PNS,15,2903000,0.533307268,60,60000000,LANCAR,1
A248743,36,NEW,LAKI LAKI,35,MENIKAH,3,Milik Sendiri,DIPLOMA,Medan,Pegawai swasta,2,3987710,0.377911884,36,31000000,MACET,0
A93460,24,NEW,LAKI LAKI,26,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 4,Pegawai swasta,3,3612935,0.336329881,24,25000000,LANCAR,1
A255736,24,NEW,LAKI LAKI,48,MENIKAH,1,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,2,6368943,0.354926084,24,35000000,MACET,0
A50457,36,NEW,PEREMPUAN,36,MENIKAH,2,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,5,3000000,0.251167,36,20000000,LANCAR,1
A266583,36,NEW,LAKI LAKI,24,TIDAK MENIKAH,0,Sewa,SMA,Bandung,Pegawai swasta,2,3000000,0.304414667,36,25000000,LANCAR,1
A224682,36,NEW,LAKI LAKI,40,MENIKAH,1,Milik Orang Tua,SMA,Surabaya,Pegawai swasta,20,3208100,0.569336056,36,30000000,LANCAR,1
A154987,12,NEW,LAKI LAKI,30,TIDAK MENIKAH,0,Sewa,S1,Jakarta 5,Pegawai swasta,2,3700000,0.370711622,12,10000000,LANCAR,1
A51651,60,NEW,LAKI LAKI,34,MENIKAH,1,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,9,5547887,0.232549618,60,50000000,LANCAR,1
A286109,7,TOP,LAKI LAKI,38,MENIKAH,2,Milik Sendiri,S1,Jakarta 3,Pegawai swasta,19,6168046.667,0.6,120,176500000,LANCAR,1
A21307,60,NEW,PEREMPUAN,35,MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai swasta,15,3460445,0.447396505,60,60000000,LANCAR,1
A169681,84,NEW,LAKI LAKI,28,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Bandung,Pegawai swasta,1,5872308.333,0.6,84,130000000,LANCAR,1
A148136,36,NEW,LAKI LAKI,30,MENIKAH,2,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,5,4933306,0.361347137,36,50000000,LANCAR,1
A299446,8,TOP,LAKI LAKI,44,MENIKAH,1,Rumah Dinas,S1,Jakarta 5,Pegawai BUMN,15,6150050,0.6,120,165300000,LANCAR,1
A247699,12,NEW,LAKI LAKI,35,MENIKAH,2,Rumah Dinas,DIPLOMA,Jayapura,Pegawai swasta,3,13437729,0.306219823,12,45000000,LANCAR,1
A199304,60,NEW,LAKI LAKI,54,MENIKAH,2,Milik Sendiri,S1,Surabaya,Pegawai BUMN,25,11644157,0.34969848,60,124000000,LANCAR,1
A281995,7,TOP,LAKI LAKI,28,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,3,3109947,0.404245153,84,55000000,LANCAR,1
A129537,60,NEW,PEREMPUAN,29,MENIKAH,0,Milik Orang Tua,DIPLOMA,Jakarta 5,Pegawai swasta,3,3337300,0.28372277,60,30000000,LANCAR,1
A251151,24,NEW,LAKI LAKI,34,MENIKAH,4,Milik Orang Tua,SMA,Medan,Pegawai swasta,2,6480735,0.6,24,23000000,MACET,0
A294913,12,TOP,LAKI LAKI,42,MENIKAH,3,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,15,2209448,0.578669876,78,58000000,LANCAR,1
A321567,25,TOP,LAKI LAKI,47,MENIKAH,3,Rumah Dinas,S1,Makassar,Pegawai BUMN,22,13924000,0.399212583,96,301000000,LANCAR,1
A96363,60,NEW,PEREMPUAN,31,MENIKAH,1,Sewa,SMA,Jakarta 4,Pegawai swasta,4,3449266,0.374038709,60,50000000,LANCAR,1
A278197,6,TOP,LAKI LAKI,39,MENIKAH,2,Milik Sendiri,SMA,Medan,Pegawai swasta,4,5391088,0.351271395,60,52000000,LANCAR,1
A44638,36,NEW,LAKI LAKI,43,MENIKAH,1,Milik Sendiri,SMP,Jakarta 3,Pegawai swasta,5,3552000,0.424268863,36,28000000,LANCAR,1
A9854,60,NEW,LAKI LAKI,52,MENIKAH,4,Rumah Dinas,DIPLOMA,Medan,Pegawai BUMN,25,16053139,0.469482261,60,300000000,LANCAR,1
A153700,60,NEW,LAKI LAKI,51,MENIKAH,1,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,25,8374071.667,0.6,60,191000000,LANCAR,1
A109050,24,NEW,LAKI LAKI,39,MENIKAH,3,Sewa,SMA,Balikpapan,Pegawai swasta,14,3111643,0.404024819,24,25000000,LANCAR,1
A254736,42,NEW,LAKI LAKI,43,MENIKAH,1,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,5,4972003,0.27208813,42,40000000,MACET,0
A256371,30,NEW,LAKI LAKI,42,MENIKAH,3,Sewa,SMA,Balikpapan,Pegawai swasta,3,4582631,0.236138149,30,20000000,MACET,0
A55573,60,NEW,LAKI LAKI,42,MENIKAH,3,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,15,4073229,0.308382121,60,50000000,LANCAR,1
A147668,60,NEW,LAKI LAKI,35,MENIKAH,2,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,3,3125000,0.2009776,60,25000000,LANCAR,1
A95623,72,NEW,LAKI LAKI,22,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,3,3488799,0.399572747,72,60000000,LANCAR,1
A255697,48,NEW,LAKI LAKI,48,MENIKAH,4,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,20,2635276,0.33888329,48,30000000,MACET,0
A53099,120,NEW,LAKI LAKI,46,MENIKAH,2,Milik Sendiri,SMA,Jakarta 3,Pegawai BUMN,21,21828600,0.283767947,120,350000000,LANCAR,1
A51049,60,NEW,LAKI LAKI,47,MENIKAH,2,Milik Sendiri,SMA,Jakarta 3,Pegawai BUMN,23,6287667,0.3995474,60,100000000,LANCAR,1
A223873,36,NEW,LAKI LAKI,26,MENIKAH,2,Milik Orang Tua,SMA,Surabaya,Pegawai swasta,3,2533509,0.288372767,36,20000000,LANCAR,1
A172465,96,NEW,LAKI LAKI,38,MENIKAH,3,Milik Sendiri,SMA,Bandung,Pegawai swasta,15,3363396.667,0.6,96,69000000,LANCAR,1
A17082,36,NEW,LAKI LAKI,26,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai swasta,2,3892135,0.290393833,36,30000000,LANCAR,1
A96742,84,NEW,PEREMPUAN,23,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,2,4458364,0.371899647,84,80000000,LANCAR,1
A118695,60,NEW,LAKI LAKI,48,CERAI,2,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,18,12753107,0.389749337,60,200000000,LANCAR,1
A305141,9,TOP,LAKI LAKI,38,MENIKAH,2,Sewa,SMA,Jakarta 5,Pegawai swasta,14,5768598.333,0.6,108,164000000,LANCAR,1
A254902,24,NEW,LAKI LAKI,31,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,1,3578787,0.574335941,24,20000000,MACET,0
A25217,96,NEW,LAKI LAKI,39,MENIKAH,0,Milik Sendiri,SMA,Medan,Pegawai swasta,16,3610967,0.494812331,96,92000000,LANCAR,1
A260383,36,NEW,LAKI LAKI,27,MENIKAH,1,Milik Sendiri,DIPLOMA,Makassar,Pegawai swasta,2,3162535,0.59564653,36,20000000,MACET,0
A98928,36,NEW,PEREMPUAN,43,MENIKAH,2,Milik Sendiri,DIPLOMA,Jakarta 4,Pegawai swasta,1,4562000,0.224754274,36,30000000,LANCAR,1
A194922,24,NEW,PEREMPUAN,56,CERAI,3,Milik Sendiri,S1,Semarang,PNS,10,8042915,0.241139686,24,40000000,LANCAR,1
A200030,24,NEW,LAKI LAKI,38,MENIKAH,2,Milik Sendiri,SMA,Surabaya,Pegawai swasta,7,2532950,0.423928621,24,12000000,LANCAR,1
A259126,24,NEW,LAKI LAKI,48,MENIKAH,1,Milik Sendiri,S1,Semarang,Pegawai swasta,10,3935430,0.522287526,24,22500000,MACET,0
A229923,36,NEW,LAKI LAKI,47,MENIKAH,3,Milik Sendiri,SMA,Makassar,Pegawai swasta,7,3074788,0.503511462,36,34000000,LANCAR,1
A141917,60,NEW,LAKI LAKI,47,MENIKAH,5,Milik Sendiri,DIPLOMA,Jakarta 5,Pegawai swasta,21,23096432,0.130525182,60,120000000,LANCAR,1
A4622,48,NEW,PEREMPUAN,27,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai BUMN,4,2997328,0.397265164,48,40000000,LANCAR,1
A286663,8,TOP,LAKI LAKI,31,MENIKAH,1,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,5,3146200,0.473084356,48,48000000,LANCAR,1
A248990,36,NEW,PEREMPUAN,26,MENIKAH,0,Sewa,SMA,Jakarta 3,Pegawai swasta,4,2608421,0.361090867,36,20500000,MACET,0
A260013,36,NEW,LAKI LAKI,35,MENIKAH,2,Sewa,SMA,Surabaya,Pegawai swasta,8,2719600,0.262191131,36,20000000,MACET,0
A203778,96,NEW,LAKI LAKI,35,MENIKAH,2,Milik Sendiri,S1,Surabaya,Pegawai swasta,2,3236868.333,0.6,96,75000000,LANCAR,1
A209086,48,NEW,LAKI LAKI,39,MENIKAH,1,Milik Sendiri,SMA,Surabaya,Pegawai swasta,14,2945058,0.525723093,48,25000000,LANCAR,1
A252547,96,NEW,LAKI LAKI,33,MENIKAH,1,Sewa,SMA,Jakarta 3,Pegawai swasta,9,4626035,0.6,96,83000000,MACET,0
A253832,48,NEW,LAKI LAKI,41,MENIKAH,3,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,2,3867961,0.333550157,48,40000000,MACET,0
A324161,20,TOP,LAKI LAKI,38,MENIKAH,1,Rumah Dinas,DIPLOMA,Jayapura,Pegawai swasta,9,8374071.667,0.6,60,127000000,LANCAR,1
A11265,60,NEW,PEREMPUAN,51,MENIKAH,1,Milik Sendiri,SMA,Medan,PNS,24,5342266,0.352690413,60,75000000,LANCAR,1
A234442,30,NEW,LAKI LAKI,52,MENIKAH,3,Milik Sendiri,DIPLOMA,Makassar,Pegawai swasta,17,16258191,0.077516066,30,30000000,LANCAR,1
A286899,14,TOP,LAKI LAKI,51,MENIKAH,4,Milik Sendiri,S1,Jakarta 3,Pegawai swasta,19,16786400,0.144776486,24,77500000,LANCAR,1
A40853,120,NEW,LAKI LAKI,33,MENIKAH,4,Rumah Dinas,DIPLOMA,Palembang,Pegawai BUMN,8,8066833,0.438781242,120,200000000,LANCAR,1
A154376,60,NEW,LAKI LAKI,49,MENIKAH,5,Milik Sendiri,S1,Jakarta 5,Pegawai BUMN,23,90000000,0.067550156,60,250000000,LANCAR,1
A126392,36,NEW,LAKI LAKI,35,MENIKAH,3,Milik Sendiri,DIPLOMA,Balikpapan,Pegawai swasta,2,3617985,0.496160985,36,40000000,LANCAR,1
A100819,36,NEW,LAKI LAKI,23,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 4,Pegawai swasta,2,6029225,0.283432945,36,50000000,LANCAR,1
A164708,36,NEW,LAKI LAKI,35,MENIKAH,1,Milik Orang Tua,SMA,Bandung,Pegawai swasta,8,3192658,0.343253803,36,26000000,LANCAR,1
A249125,60,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Sendiri,S1,Balikpapan,Pegawai swasta,1,7238668,0.249524222,60,70000000,MACET,0
A249755,36,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Rumah Dinas,SMA,Medan,Pegawai swasta,2,2267495,0.402754582,36,15000000,MACET,0
A170676,72,NEW,LAKI LAKI,40,MENIKAH,2,Milik Sendiri,DIPLOMA,Bandung,Pegawai swasta,18,4135000,0.408573881,72,75000000,LANCAR,1
A312704,13,TOP,PEREMPUAN,53,CERAI,1,Sewa,DIPLOMA,Semarang,Pegawai swasta,19,17924518,0.285025851,84,287000000,LANCAR,1
A186275,60,NEW,LAKI LAKI,24,TIDAK MENIKAH,0,Milik Sendiri,SMA,Bandung,Pegawai swasta,5,4584987,0.547923255,60,91000000,LANCAR,1
A52606,84,NEW,PEREMPUAN,31,TIDAK MENIKAH,0,Sewa,S1,Jakarta 3,PNS,2,5599149,0.425683617,84,115000000,LANCAR,1
A153736,12,NEW,PEREMPUAN,32,TIDAK MENIKAH,0,Milik Orang Tua,S1,Jakarta 5,Pegawai swasta,1,29510416,0.165382521,12,50000000,LANCAR,1
A68714,120,NEW,LAKI LAKI,36,MENIKAH,4,Milik Sendiri,S1,Jakarta 3,Pegawai BUMN,9,20000000,0.19408305,120,250000000,LANCAR,1
A172082,120,NEW,LAKI LAKI,40,MENIKAH,2,Milik Sendiri,DIPLOMA,Bandung,Pegawai BUMN,13,6035360,0.586472886,120,180000000,LANCAR,1
A257591,60,NEW,LAKI LAKI,36,MENIKAH,1,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,1,16000000,0.25362525,60,144000000,MACET,0
A325216,8,TOP,LAKI LAKI,32,MENIKAH,2,Sewa,SMA,Balikpapan,Pegawai swasta,1,6308441,0.300186845,84,115000000,LANCAR,1
A148582,24,NEW,LAKI LAKI,33,MENIKAH,2,Sewa,SMA,Jakarta 5,Pegawai swasta,6,3700000,0.134277838,24,10000000,LANCAR,1
A257264,24,NEW,PEREMPUAN,24,TIDAK MENIKAH,0,Rumah Dinas,DIPLOMA,Balikpapan,Pegawai swasta,1,2610000,0.360872414,24,10000000,MACET,0
A281404,24,TOP,LAKI LAKI,35,MENIKAH,2,Milik Sendiri,SMA,Palembang,Pegawai swasta,10,4038886,0.311004321,60,58500000,LANCAR,1
A257700,60,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,2,4293043,0.414722145,60,49000000,MACET,0
A14459,24,NEW,LAKI LAKI,37,MENIKAH,0,Sewa,SMA,Medan,Pegawai swasta,1,3747738,0.274222211,24,16000000,LANCAR,1
A232012,60,NEW,LAKI LAKI,48,MENIKAH,4,Rumah Dinas,SMA,Makassar,Pegawai BUMN,20,5906414,0.425337777,60,100000000,LANCAR,1
A294321,29,TOP,LAKI LAKI,37,MENIKAH,3,Milik Orang Tua,S1,Jakarta 4,Pegawai swasta,6,7395734,0.409297711,96,155000000,LANCAR,1
A248732,60,NEW,LAKI LAKI,41,MENIKAH,1,Milik Orang Tua,SMA,Medan,Pegawai swasta,14,3317888,0.233309865,60,30000000,MACET,0
A220921,72,NEW,LAKI LAKI,41,MENIKAH,2,Milik Sendiri,S1,Surabaya,Pegawai swasta,7,7498889,0.24356768,72,114000000,LANCAR,1
A307416,7,TOP,LAKI LAKI,30,MENIKAH,2,Milik Sendiri,SMA,Bandung,Pegawai swasta,6,6530836,0.460682063,120,174000000,LANCAR,1
A256253,36,NEW,LAKI LAKI,35,MENIKAH,1,Milik Sendiri,DIPLOMA,Balikpapan,Pegawai swasta,2,3781784,0.286143788,36,30000000,MACET,0
A175906,60,NEW,LAKI LAKI,30,MENIKAH,3,Milik Sendiri,SMA,Bandung,Pegawai swasta,1,3500000,0.386476571,60,31500000,LANCAR,1
A156146,48,NEW,LAKI LAKI,41,MENIKAH,3,Sewa,SMA,Jakarta 5,Pegawai swasta,1,3200000,0.254750625,48,25000000,LANCAR,1
A254356,48,NEW,LAKI LAKI,40,MENIKAH,3,Milik Sendiri,SMP,Balikpapan,Pegawai swasta,4,5231686,0.284500637,48,50000000,MACET,0
