age,new.cust,cust.relation,income,payroll,product
62,0,A,42181.71,0,e-account
24,0,I,446072.88,0,none
29,0,I,63990.54,0,none
42,0,A,95591.94,0,none
69,1,A,105545.76,0,none
38,0,A,180314.82,0,direct debit
84,0,I,76090.98,0,none
66,0,I,210903.51,0,none
85,0,A,220749.84,0,none
50,0,I,245500.74,0,none
53,0,A,314950.47,0,none
43,0,A,76479.9,1,pension
27,1,A,209877.27,0,none
77,0,A,158032.98,1,direct debit
44,0,A,134536.92,1,direct debit
21,0,A,28657.89,0,none
38,0,A,84300.18,0,direct debit
21,0,I,22565.76,0,none
32,0,I,55832.58,0,none
23,0,A,67363.11,0,none
38,0,I,152720.46,0,e-account
23,0,I,64306.14,0,none
47,0,A,289245.18,0,direct debit
38,0,I,48084.72,0,none
69,0,I,273640.26,0,none
65,0,A,194426.52,1,direct debit
71,0,A,331308.03,0,none
76,0,I,280720.41,0,none
63,0,A,52714.74,0,none
75,0,I,50663.58,0,none
32,0,I,64701.57,0,none
21,0,I,52929.03,0,none
31,0,I,59156.82,0,none
76,0,A,56951.61,0,none
26,0,I,216120.69,0,none
50,0,A,66850.38,1,pension
21,0,A,104910.84,0,none
27,0,A,109647.87,0,none
57,0,I,127826.46,0,none
22,0,I,137774.22,0,none
39,0,A,266896.86,1,direct debit
45,0,A,72798,0,none
23,0,I,90278.91,0,none
43,0,I,65129.31,0,none
65,0,I,87338.58,0,none
31,0,A,102756.36,0,direct debit
22,0,I,367478.4,0,none
54,0,A,86131.62,0,none
20,1,A,41347.38,0,none
27,0,A,124742.79,1,direct debit
61,0,A,95865.18,0,none
68,0,A,126186,0,e-account
44,0,A,128435.49,0,none
27,0,I,133482.24,0,none
45,0,A,67163.67,0,direct debit
54,0,I,53662.62,0,none
71,0,A,151251.93,0,none
43,0,I,160558.95,0,none
42,0,I,350126.34,0,none
44,0,I,122443.38,0,none
29,0,A,81504.24,1,direct debit
20,0,A,88011.24,0,e-account
51,0,A,282609.6,0,none
55,0,A,81163.44,0,direct debit
49,0,I,101940.42,0,none
92,0,I,208135.26,0,none
20,0,I,261217.05,0,none
68,0,A,72231.3,0,none
52,0,A,163621.08,1,direct debit
21,0,I,81926.01,0,none
21,0,I,192599.25,0,e-account
70,0,A,266319.51,0,e-account
57,0,I,81742.08,0,none
35,0,I,98930.58,0,none
50,0,A,88180.2,0,none
63,0,A,215409.69,0,none
28,0,I,78552.6,0,none
21,1,A,104903.34,0,none
30,0,I,90775.59,0,none
64,0,I,176566.86,0,none
59,0,I,262400.55,0,none
75,0,A,196600.32,1,direct debit
43,0,I,79416.54,0,none
13,0,A,62415.51,0,none
32,0,A,129294.33,0,direct debit
22,0,I,77817.81,0,none
29,0,I,150513.21,0,none
42,0,I,162530.7,0,none
24,0,I,192465.87,0,none
37,0,I,105200.82,0,none
24,0,I,76830.6,0,none
43,1,I,90430.56,0,none
57,0,I,71270.25,0,none
42,0,A,51433.62,0,direct debit
22,0,I,72492.51,0,none
86,0,I,70935.18,0,none
28,0,A,196207.65,0,none
49,0,I,69885.15,0,none
40,0,I,110660.16,0,none
46,0,A,146917.92,0,none
45,0,I,229784.16,0,none
42,0,I,127499.7,0,none
26,0,A,51773.73,0,none
77,0,I,86458.95,0,none
21,0,I,93770.97,0,none
84,0,A,91406.04,0,none
58,0,A,65799.75,0,none
27,0,A,24137.13,0,none
20,0,I,137008.35,0,none
98,0,I,137177.43,0,none
70,0,A,290574.21,0,none
24,0,I,214445.28,0,none
43,0,A,100616.76,1,direct debit
33,0,A,263186.4,1,direct debit
23,0,A,87695.58,0,none
47,0,A,136639.5,0,none
23,0,I,104289.45,0,none
15,0,A,95171.22,0,none
49,0,A,92385.51,1,pension
22,0,I,133690.59,0,none
52,0,A,41862.87,0,none
47,0,I,115693.44,0,none
25,0,A,179924.31,1,pension
60,0,A,48924,1,direct debit
21,0,I,83115.45,0,none
44,0,I,113251.71,0,none
70,0,A,103304.61,0,none
10,0,A,190021.95,0,none
42,0,I,227455.47,0,none
73,0,A,83692.86,0,none
22,0,A,99745.65,0,none
46,0,I,183718.68,0,none
35,0,A,90628.68,0,none
60,0,I,142297.26,0,none
22,0,I,125614.14,0,none
34,0,I,58455.15,0,none
62,0,A,96288.99,0,none
55,0,A,128736.39,0,none
22,0,I,33817.41,0,none
43,0,A,64234.26,1,direct debit
26,0,I,52192.2,0,none
20,1,A,139966.74,0,none
21,0,I,60148.92,0,none
31,0,I,87204.18,0,none
47,0,A,198447.72,1,pension
58,0,A,219035.28,1,pension
39,0,A,202502.34,0,e-account
21,0,I,53364.42,0,none
48,0,I,43354.29,0,none
47,0,I,157479.87,0,none
72,0,I,102319.38,0,none
68,0,A,144490.92,0,direct debit
47,0,I,56476.32,0,none
52,0,A,84011.01,0,e-account
45,0,A,102653.85,1,e-account
23,0,I,43503.39,0,none
43,0,I,110309.22,0,none
54,0,A,37386.3,0,direct debit
21,0,A,107746.86,0,none
22,0,I,86690.4,0,none
58,0,A,235723.8,0,none
45,0,A,193033.65,0,none
57,0,A,282332.76,0,none
64,0,A,283844.61,0,direct debit
22,1,I,59245.98,0,none
46,0,A,128771.76,1,direct debit
51,0,A,52459.62,0,direct debit
24,1,I,46081.92,0,none
54,0,I,141753.6,0,none
52,0,I,51469.35,0,none
75,0,A,106452.3,0,none
36,0,I,49642.38,0,e-account
24,0,I,136097.55,0,none
56,0,I,180161.04,0,none
57,0,I,350938.44,0,none
44,0,I,116699.67,0,none
21,0,I,31570.05,0,none
26,0,A,51358.41,1,direct debit
43,0,I,367460.52,0,none
37,0,A,144180.57,0,none
34,0,I,70147.62,0,none
27,0,I,196757.28,0,none
22,0,I,126204.45,0,none
33,0,I,109010.34,0,none
23,0,A,197138.1,0,none
54,0,I,77867.97,0,none
18,0,A,91059.03,0,none
92,0,A,98415.24,0,none
36,0,I,42331.47,0,none
24,0,I,54446.52,0,none
21,0,I,40245.96,0,none
66,0,A,158014.38,0,none
54,0,I,111035.67,0,none
36,0,I,105238.77,0,none
25,0,I,87249.24,0,none
45,0,I,132858.57,0,none
22,0,I,74698.56,0,none
45,0,A,139101.42,0,none
44,0,A,236037.99,1,direct debit
32,0,A,89861.73,0,none
38,0,I,43300.83,0,none
37,0,A,88374.54,0,none
31,0,I,64562.58,0,none
21,0,I,148673.91,0,none
27,0,I,109658.31,0,none
27,0,I,77602.11,0,none
45,0,A,333371.19,1,pension
43,0,I,105482.76,0,none
61,0,A,94883.16,0,none
53,0,I,176728.74,0,none
37,0,A,52460.49,0,e-account
23,0,I,82366.65,0,none
26,0,A,107393.01,0,none
74,0,A,80114.46,0,none
22,0,I,52416.87,0,none
22,0,I,43900.68,0,none
26,0,I,65052.96,0,none
44,0,A,439218.33,0,none
30,0,A,94603.92,0,direct debit
45,0,A,168833.85,0,e-account
24,0,I,56551.17,0,none
6,0,A,121047.12,0,none
45,0,A,364150.32,0,direct debit
25,0,I,63632.13,0,none
42,0,A,180641.37,0,none
30,0,I,64916.46,0,none
59,0,A,99934.65,0,none
31,0,I,74634.72,0,none
84,0,A,179581.44,0,none
31,0,A,211350.45,0,none
21,0,I,54969.21,0,none
47,0,I,73672.5,0,none
55,0,A,299025.15,0,none
35,0,A,89258.58,1,e-account
45,0,I,58937.73,0,none
46,0,I,79043.22,0,none
26,0,A,239174.04,0,e-account
49,0,A,37248.33,0,direct debit
27,0,I,44735.19,0,none
23,0,I,74019.96,0,none
46,0,I,69814.29,0,none
21,0,A,195058.65,1,none
58,0,I,110113.8,0,none
21,0,I,217105.8,0,none
53,0,I,195186.21,0,none
23,0,I,243486.12,0,none
55,0,A,57036.21,0,e-account
51,0,I,109686.96,0,none
56,0,I,71752.53,0,none
35,0,I,107557.89,0,none
73,0,A,150066.87,0,pension
63,0,I,116817.72,0,none
21,0,A,102246.21,0,none
34,0,A,75452.01,1,direct debit
23,0,I,95510.79,0,none
24,0,I,84633.27,0,none
72,0,A,677535.09,0,e-account
53,0,A,48524.61,0,none
23,0,I,120644.16,0,none
28,0,I,56890.74,0,none
53,0,I,203839.17,0,none
64,0,A,255361.38,1,pension
59,0,I,144433.44,0,none
29,0,I,30761.97,0,none
45,0,I,98683.26,0,none
22,0,A,52203.3,0,none
27,0,I,73111.32,0,none
60,0,I,176015.73,0,none
22,0,I,56175.24,0,none
29,0,I,141266.85,0,none
22,0,A,34264.02,1,pension
44,0,I,31606.65,0,none
39,0,A,205658.52,0,e-account
15,0,I,41197.65,0,none
42,0,A,31864.71,1,direct debit
39,0,I,28882.56,0,none
31,0,A,73384.68,0,direct debit
42,0,A,236235.39,1,e-account
23,0,I,230343.18,0,none
8,1,A,58472.91,0,none
66,0,I,213738.99,0,none
62,0,A,73605.15,0,direct debit
34,0,I,35727.42,0,none
24,0,I,262317.45,0,none
22,0,I,53488.5,0,none
28,0,A,173129.61,0,direct debit
21,1,A,86777.55,0,none
41,0,A,66213.15,0,none
22,0,I,41299.14,0,none
95,0,I,130685.64,0,none
75,0,A,299889.81,1,direct debit
50,0,A,66009.12,1,e-account
25,0,I,45913.47,0,direct debit
66,0,A,121401.09,0,none
30,0,I,48058.74,0,none
59,0,A,54690.48,0,none
89,0,I,45526.71,0,none
21,0,I,57906.87,0,none
21,0,I,66667.02,0,none
52,0,A,173252.16,1,direct debit
23,0,A,360646.83,0,none
61,0,I,101201.97,0,none
54,0,I,122642.64,0,none
71,0,I,212447.25,0,none
23,0,I,44391.9,0,none
62,0,A,289811.61,0,e-account
37,0,A,83967.48,1,direct debit
27,0,I,31956.99,0,none
25,0,A,142500,0,none
20,1,A,130344.69,0,none
39,0,A,101097.78,1,e-account
32,0,A,78932.7,1,direct debit
54,0,A,188922.21,0,none
27,0,I,79762.53,0,none
39,0,I,60896.31,0,e-account
14,0,I,106696.41,0,none
43,0,A,136952.34,1,direct debit
31,0,I,88099.53,0,none
41,0,A,95882.19,0,direct debit
81,0,I,238120.47,0,none
43,0,I,58347.54,0,none
30,0,A,47245.95,0,none
52,0,A,146408.7,0,none
27,0,I,113560.29,0,none
21,0,I,111178.56,0,none
21,0,I,70405.8,0,none
26,1,A,159469.68,0,none
24,0,I,72878.94,0,none
18,0,I,418960.77,0,none
22,0,I,108166.44,0,none
33,0,A,117271.05,1,pension
24,0,I,104646.3,0,none
54,0,A,106353.21,0,none
68,0,A,170920.44,0,none
23,0,I,93037.32,0,none
54,0,I,75904.05,0,none
27,0,I,52071.3,0,none
32,0,A,78932.7,1,e-account
31,0,I,178156.56,0,none
48,0,A,173865.93,0,none
74,0,A,197369.64,0,none
47,0,I,216538.11,0,none
39,0,A,206045.64,1,direct debit
74,0,A,316320.69,1,pension
42,0,I,71302.53,0,none
26,0,A,230309.52,0,none
42,0,A,118110.87,1,pension
67,0,A,438421.86,0,none
24,0,I,84115.41,0,none
34,0,I,28938.48,0,none
47,0,A,198447.72,1,direct debit
27,0,I,171909.75,0,none
27,0,A,153821.67,0,none
51,0,I,24855.96,0,none
49,0,A,229181.04,0,none
55,0,A,476565.54,0,none
22,0,I,71751.24,0,none
92,0,A,83623.23,0,e-account
83,0,I,134331.69,0,none
38,0,A,136686.03,1,direct debit
40,0,I,132713.55,0,none
79,0,I,115298.25,0,none
22,0,I,43012.08,0,none
26,0,A,66235.2,0,direct debit
41,0,A,62521.05,0,none
22,0,I,131606.22,0,none
42,0,A,131023.38,1,e-account
46,0,A,246121.35,0,e-account
21,0,I,135977.55,0,none
40,0,A,70820.46,0,e-account
23,0,I,728015.07,0,none
49,0,I,163271.16,0,none
59,0,A,61889.67,1,pension
23,0,I,72139.95,0,none
52,0,A,208180.35,1,direct debit
44,0,A,236037.99,1,pension
48,0,A,75338.91,0,none
22,0,I,39786.99,0,none
23,0,I,59884.02,0,none
26,0,A,117701.1,0,direct debit
37,0,I,125495.91,0,none
34,0,A,44035.05,1,pension
32,0,I,66069,0,none
46,0,A,110318.73,1,pension
29,0,I,41074.86,0,none
26,0,I,305525.94,0,none
26,0,A,159572.52,1,pension
41,0,A,68114.49,0,none
54,0,A,91281.84,1,e-account
50,0,A,69108.42,0,none
45,0,A,234258.75,1,pension
17,0,I,87125.79,0,none
44,0,A,110174.64,0,none
54,0,A,180182.28,0,none
27,0,A,137439,1,direct debit
89,0,A,49309.65,0,direct debit
21,0,A,145934.73,0,none
33,0,I,46952.58,0,none
51,0,A,141897.78,1,e-account
20,0,A,71423.31,0,none
37,0,A,55627.29,1,pension
25,0,I,130270.47,0,none
76,0,I,38271.15,0,none
21,0,I,54775.17,0,none
60,0,I,215223.45,0,none
35,0,A,128894.31,0,none
55,0,A,54347.52,0,none
25,0,I,52554.6,0,none
35,0,I,136343.1,0,none
37,0,I,29038.95,0,none
28,0,I,20838.75,0,none
51,0,A,76409.43,1,none
70,0,A,87063.75,0,none
54,0,A,87393.9,1,pension
52,0,A,97198.71,1,e-account
41,0,I,82199.16,0,none
48,0,A,150649.59,0,none
71,0,I,111978.84,0,none
37,0,A,423560.13,0,e-account
52,0,A,66858.03,0,none
21,0,I,46568.37,0,none
24,0,I,89372.34,0,none
27,0,I,61432.08,0,none
17,0,I,169694.1,0,none
22,0,A,218034.06,0,none
30,1,I,57682.98,0,none
23,0,I,50283.75,0,none
81,0,A,158916.48,0,none
24,0,I,62238.9,0,none
43,0,A,36316.77,0,none
22,0,I,89068.14,0,none
49,0,I,38104.02,0,none
21,1,I,299589.81,0,none
29,0,I,62514.45,0,none
29,0,I,79633.68,0,none
29,0,A,88879.35,0,direct debit
34,0,I,1065079.59,0,none
21,0,I,102312.87,0,none
60,0,A,154697.37,1,direct debit
34,0,A,77643.12,0,none
22,0,I,104297.79,0,none
85,0,A,152410.08,0,none
35,0,A,60287.67,0,direct debit
46,0,I,146466.3,0,none
23,0,A,42691.86,0,none
21,0,I,65021.91,0,none
58,0,A,64672.08,0,none
46,0,A,361213.74,1,e-account
57,0,A,59826.69,0,none
25,0,I,50368.92,0,none
39,0,I,190340.85,0,none
64,0,I,52673.04,0,none
22,0,A,207093.45,0,none
21,0,I,99322.83,0,none
36,0,I,114251.88,0,none
32,0,A,129552.93,0,none
24,0,I,88588.98,0,none
37,0,A,111671.4,0,direct debit
28,0,I,180987.48,0,none
73,0,A,126881.79,0,none
62,0,I,46072.05,0,none
24,0,I,55726.2,0,none
45,0,A,114099,1,pension
23,0,I,71605.29,0,none
67,0,I,32570.73,0,none
48,0,I,127220.28,0,none
38,0,A,206356.56,1,pension
71,0,A,198449.85,1,direct debit
43,0,I,125603.85,0,none
46,0,I,76536.57,0,none
83,0,A,189984.51,0,none
30,0,A,189034.8,1,pension
25,0,I,115972.38,0,none
36,0,A,129038.55,0,e-account
32,0,A,61059.03,0,none
76,0,I,38271.15,0,none
46,0,A,74344.74,0,none
83,0,A,50744.07,1,direct debit
67,0,A,368305.65,0,none
74,0,I,437945.04,0,none
55,0,A,271610.46,1,e-account
23,0,I,207168.93,0,none
39,0,A,63301.65,0,none
43,0,I,68150.04,0,none
22,0,I,107056.38,0,none
45,0,I,50074.8,0,none
42,0,I,103832.64,0,none
31,0,A,45204.51,0,none
25,0,A,59302.62,0,none
49,0,I,52627.62,0,none
54,0,A,138882.3,0,none
26,0,A,79299.3,1,none
43,0,A,91088.13,0,direct debit
24,0,A,81469.08,0,e-account
31,0,A,82550.7,1,direct debit
22,0,A,157373.19,0,none
24,0,I,527985.09,0,none
38,0,A,33413.07,0,none
54,0,A,187948.11,0,none
55,0,I,116894.22,0,none
45,0,I,105859.26,0,none
43,0,I,46127.94,0,none
53,0,A,95839.17,1,e-account
23,0,I,112969.56,0,none
49,0,I,121515.96,0,none
50,0,A,69850.53,0,none
53,0,I,134275.8,0,none
82,0,A,88250.55,0,none
62,0,A,376678.26,0,none
26,0,A,91368,0,none
52,0,A,163621.08,1,pension
47,0,A,38245.89,0,none
41,0,I,65505.69,0,none
43,0,I,142930.44,0,none
45,0,I,67734.45,0,none
56,0,A,66968.19,0,direct debit
37,0,A,187156.23,1,pension
21,0,I,88825.86,0,none
22,0,A,113196.12,0,none
45,0,I,387486.96,0,none
22,0,I,148809.75,0,none
37,0,I,137837.43,0,none
60,0,A,396359.49,1,direct debit
43,0,A,124041.12,0,none
77,0,A,158032.98,1,pension
40,0,I,88892.58,0,none
28,0,I,56069.55,0,none
20,1,I,66329.43,0,none
17,0,A,53883.72,0,none
20,0,I,140301.78,0,none
61,0,A,121810.8,0,e-account
35,0,A,94446.21,0,direct debit
53,0,I,91549.95,0,none
22,0,I,26736.45,0,none
26,1,A,54342.51,0,none
38,0,I,169524.66,0,none
46,0,A,147935.64,0,e-account
24,0,I,46665.96,0,none
43,0,A,57764.4,0,none
25,0,I,71825.64,0,none
64,0,A,294288.81,0,none
22,0,A,91135.47,0,none
34,0,A,77307.93,0,direct debit
93,0,A,267541.14,0,none
33,0,A,341908.05,1,direct debit
62,0,I,362794.08,0,none
64,0,A,232102.35,1,direct debit
50,0,A,229203.27,0,e-account
32,0,A,91415.88,1,direct debit
21,0,I,101035.53,0,none
37,0,A,106904.61,0,none
35,0,A,113964.81,0,none
27,0,I,91343.79,0,none
20,0,I,32403.03,0,none
51,0,A,141897.78,1,direct debit
22,0,I,66211.17,0,none
51,0,A,37959.75,1,direct debit
24,0,A,37002.66,0,none
73,0,A,111351.57,0,none
45,0,A,92281.59,0,none
23,0,A,157971.69,0,none
40,0,A,114464.58,0,direct debit
44,0,I,100633.35,0,none
24,0,A,64584.81,0,none
25,0,I,72316.14,0,none
22,0,I,153425.07,0,none
59,0,A,432504.48,0,none
27,0,I,86124.45,0,none
39,0,A,99881.94,1,pension
28,0,A,103021.86,0,none
59,0,A,116847.09,1,pension
22,0,I,91896.75,0,none
30,1,I,55462.47,0,none
36,0,A,206000.43,0,e-account
25,0,I,58742.01,0,none
26,0,A,117271.23,0,none
47,0,I,105353.22,0,none
46,0,I,48236.73,0,none
18,0,A,122278.41,0,none
31,0,I,93168.81,1,none
43,0,A,49790.49,1,pension
45,0,I,59530.77,0,none
22,0,I,93294,0,none
55,0,A,120444.6,0,direct debit
22,0,A,82831.5,0,none
42,0,I,78707.13,0,none
72,0,A,97939.38,0,e-account
29,0,I,145229.25,0,none
23,0,A,158069.46,0,none
52,0,I,33399.75,0,none
40,0,I,56263.98,0,none
57,0,A,110763.75,1,pension
53,0,A,104129.37,0,e-account
46,0,A,102856.68,1,pension
41,0,A,72998.52,1,direct debit
34,0,I,60304.86,0,none
71,0,A,52327.05,1,pension
48,0,A,95907,1,direct debit
37,0,A,90461.04,0,none
77,0,I,69814.77,0,e-account
42,0,A,72115.41,0,none
23,0,I,77686.92,0,none
51,0,A,124422.3,1,pension
23,0,A,210845.04,0,none
25,0,I,52512.75,0,none
57,1,A,137615.13,0,none
50,0,A,91578.06,0,e-account
22,0,A,251483.7,0,e-account
51,0,A,79078.86,0,direct debit
46,0,A,54889.68,0,direct debit
24,0,I,98032.44,0,none
25,0,I,88500.63,0,none
21,0,I,59400,0,none
23,0,A,99084.72,0,e-account
33,0,A,74595.03,0,none
30,0,A,303222.84,0,none
23,0,I,69608.1,0,none
48,0,I,215031.12,0,none
41,0,A,1566058.44,0,none
22,0,I,93198.27,0,none
45,0,I,123097.89,0,none
23,0,I,126618.75,0,none
24,0,A,111596.19,0,none
62,0,I,215163.69,0,none
22,0,I,146279.22,0,none
26,0,I,182107.74,0,none
59,0,I,107187.78,0,none
71,0,A,205178.67,0,none
47,0,A,97575.45,0,none
33,0,I,140962.44,0,none
25,0,I,58035.03,0,none
59,0,A,61889.67,1,e-account
45,0,A,76956.09,1,direct debit
21,0,I,62494.47,0,none
50,0,A,105335.25,1,pension
26,0,I,266359.26,0,none
77,0,A,282066.6,0,none
52,0,A,124922.61,0,none
22,0,I,80111.82,0,none
23,0,I,59867.19,0,none
79,0,I,139792.17,0,none
52,0,A,154056.9,0,none
47,0,A,88459.32,0,none
23,0,I,14269.02,0,none
27,0,I,61378.92,0,none
46,0,A,53920.74,1,pension
40,0,I,91169.73,0,e-account
27,0,A,155713.56,0,direct debit
31,0,I,246717.99,0,none
26,0,I,125907.9,0,none
48,0,A,69036.9,0,direct debit
22,0,I,99701.85,0,none
69,0,A,56443.38,0,none
34,0,A,143864.73,0,none
25,0,I,66335.67,0,none
24,0,I,162148.08,0,none
21,0,I,84787.71,0,none
39,0,I,60785.04,0,none
13,0,A,144200.01,0,none
36,0,A,66803.97,1,direct debit
22,0,I,361869.42,0,none
47,0,A,98972.34,1,direct debit
36,0,A,221509.14,0,e-account
27,0,I,80602.35,0,none
75,0,I,171614.31,0,none
31,0,A,47989.86,0,none
33,0,A,91819.92,0,none
36,0,A,145556.07,0,none
42,0,A,98452.98,0,none
62,0,A,155901.57,0,none
23,0,I,271972.41,0,none
47,0,A,166185.15,0,none
21,0,I,80278.59,0,none
41,0,A,229225.53,1,direct debit
42,0,I,55244.22,0,none
51,0,A,121972.53,0,none
50,0,I,57107.46,0,none
23,0,I,67702.86,0,none
31,0,I,47247.18,0,none
50,0,A,362432.28,0,none
36,0,A,206000.43,0,pension
65,0,I,300896.52,0,none
23,0,I,117328.77,0,none
33,0,I,293578.23,0,none
41,0,A,247859.07,1,direct debit
23,0,I,166447.35,0,none
42,0,I,96697.59,0,none
21,0,I,156354.72,0,none
53,0,I,180401.7,0,none
37,0,A,250906.47,1,pension
55,0,A,75006.81,1,direct debit
45,0,A,74178.48,0,direct debit
60,0,A,48924,1,pension
77,0,A,99720.06,0,none
28,0,I,45908.58,0,none
55,0,I,61936.47,0,none
41,0,A,229225.53,1,pension
23,0,I,31077.81,0,none
53,0,A,130028.34,1,pension
23,0,I,33740.25,0,none
50,0,A,94911.3,0,none
97,0,I,132541.92,0,none
40,0,A,65700.06,0,direct debit
42,0,A,106696.41,0,direct debit
24,1,A,59964.72,0,none
25,0,I,34636.92,0,none
52,0,I,84216.39,0,none
58,0,I,101265.72,0,none
25,0,I,125464.02,0,none
80,0,A,106794.63,0,e-account
52,0,A,84701.43,0,pension
58,0,A,101783.82,0,none
40,0,I,226762.47,0,none
56,0,I,178427.64,0,none
45,0,I,88389.03,0,none
22,0,A,298675.35,1,none
24,0,I,98159.04,0,none
31,0,A,117278.37,0,direct debit
20,0,I,101939.4,0,none
30,0,I,107199.69,0,none
24,0,I,98429.67,0,none
21,0,A,129899.64,0,e-account
55,0,A,156295.08,0,none
21,1,I,31872.36,0,none
47,0,A,79824.12,0,direct debit
24,0,I,197532.42,0,none
50,0,A,181525.08,0,none
52,0,I,87639.45,0,none
45,0,I,153130.17,0,none
60,0,A,162013.23,1,pension
43,0,A,367397.7,0,e-account
79,0,A,209987.61,1,direct debit
54,0,A,145181.61,0,none
25,0,I,73451.79,0,none
25,0,I,259624.44,0,none
44,0,A,128015.31,0,direct debit
22,0,A,91019.91,0,none
65,0,I,46253.43,0,none
71,0,I,51945.36,0,none
44,0,A,165032.22,0,none
41,0,A,71700.48,0,none
34,0,A,228470.1,1,pension
31,0,I,93215.79,0,none
41,0,I,165740.52,0,none
37,0,A,67484.76,0,direct debit
71,0,I,144145.5,0,none
25,0,I,55394.52,0,none
24,0,I,27052.95,0,none
26,0,I,61217.13,0,none
24,0,I,52495.8,0,none
45,0,A,115344.75,1,pension
72,0,I,96852.36,0,none
43,0,I,225914.34,0,none
57,0,A,163299.42,0,none
47,0,I,64456.38,0,none
32,0,A,106071.3,1,e-account
26,0,I,181510.59,0,none
67,0,I,193497.03,0,none
6,0,A,118677.24,0,none
40,0,A,51273.12,1,pension
21,0,I,73312.05,0,none
58,0,A,219035.28,1,direct debit
23,0,I,90216.39,0,none
75,0,A,105670.11,0,none
55,0,A,85480.02,0,none
51,0,A,161217.36,1,pension
21,0,I,46751.19,0,none
